a	uma
hidden	oculto
hide	esconder
high	alto
highlight	realçar
highly	altamente
high-tech	alta tecnologia
highway	auto estrada
hike	marcha
hill	colina
him	ele
himself	ele mesmo
hint	sugestão
hip	quadril
hire	contratar
his	dele
hispanic	hispânico
historian	historiador
historic	histórico
historical	histórico
historically	historicamente
history	história
hit	acertar
hockey	hóquei
hold	aguarde
hole	buraco
holiday	feriado
holy	piedosos
home	casa
homeland	pátria
homeless	sem abrigo
homework	lição de casa
honest	honesto
honestly	honestamente
honey	mel
honor	honra
hook	gancho
hope	esperança
hopefully	esperançosamente
horizon	horizonte
hormone	hormônio
horn	buzina
horrible	horrível
horror	horror
horse	cavalo
hospital	hospital
host	anfitrião
hostage	refém
hostile	hostil
hot	quente
hotel	hotel
hour	hora
house	casa
household	doméstico
housing	habitação
how	como
however	contudo
hug	abraço
huge	enorme
huh	huh
human	humano
humanity	humanidade
humor	humor
hundred	cem
hunger	fome
hungry	faminto
hunt	caça
hunter	caçador
hunting	caça
hurricane	furacão
hurry	apressar
hurt	ferido
husband	marido
hypothesis	hipótese
i	eu
ice	gelo
icon	ícone
idea	idéia
ideal	ideal
identical	idêntico
identification	identificação
identify	identificar
identity	identidade
ideological	ideológica
ideology	ideologia
ie	ou seja
if	e se
ignore	ignorar
ill	doente
illegal	ilegal
illness	doença
illusion	ilusão
illustrate	ilustrar
image	imagem
imagination	imaginação
imagine	imaginar
immediate	imediato
immediately	imediatamente
immigrant	imigrante
immigration	imigração
immune	imune
impact	impacto
implement	implemento
implementation	implementação
implication	implicação
imply	implicar
import	importação
importance	importância
important	importante
importantly	importante
impose	impor
impossible	impossível
impress	impressionar
impression	impressão
impressive	impressionante
improve	melhorar
improved	melhorado
improvement	melhoria
impulse	impulso
in	dentro
incentive	incentivo
incident	incidente
include	incluir
including	incluindo
income	renda
incorporate	incorporar
increase	aumentar
increased	aumento
increasing	aumentar
increasingly	cada vez mais
incredible	incrível
incredibly	incrivelmente
indeed	de fato
independence	independência
independent	independente
index	índice
indian	indiano
indicate	indicar
indication	indicação
indicator	indicador
indigenous	indígena
individual	individual
industrial	industrial
industry	indústria
inevitable	inevitável
inevitably	inevitavelmente
infant	infantil
infection	infecção
inflation	inflação
influence	influência
influential	influente
inform	informar
informal	informal
information	informação
infrastructure	a infraestrutura
ingredient	ingrediente
inherent	inerente
inherit	herdar
initial	inicial
initially	inicialmente
initiate	iniciar
initiative	iniciativa
injure	ferir
injury	prejuízo
inmate	ocupante
inner	interior
innocent	inocente
innovation	inovação
innovative	inovador
input	entrada
inquiry	inquérito
insect	inseto
insert	inserir
inside	dentro
insight	na mira
insist	insistir
inspection	inspeção
inspector	inspetor
inspiration	inspiração
inspire	inspirar
install	instalar
installation	instalação
instance	instância
instant	instante
instantly	imediatamente
instead	ao invés
instinct	instinto
institution	instituição
institutional	institucional
instruct	instruir
instruction	instrução
instructional	instrutivo
instructor	instrutor
instrument	instrumento
insurance	seguro
intact	intacto
integrate	integrar
integrated	integrado
integration	integração
integrity	integridade
intellectual	intelectual
intelligence	inteligência
intelligent	inteligente
intend	pretendemos
intense	intenso
intensity	intensidade
intent	intenção
intention	intenção
interact	interagir
interaction	interação
interest	interesse
interested	interessado
interesting	interessante
interfere	interferir
interior	interior
internal	interno
international	internacional
internet	internet
interpret	interpretar
interpretation	interpretação
interrupt	interromper
interval	intervalo
intervention	intervenção
interview	entrevista
intimate	íntimo
into	para dentro
introduce	introduzir
introduction	introdução
invade	invadir
invasion	invasão
invent	inventar
invention	invenção
inventory	inventário
invest	investir
investigate	investigar
investigation	investigação
investigator	investigador
investment	investimento
investor	investidor
invisible	invisível
invitation	convite
invite	convidar
involve	envolver
involved	envolvido
involvement	envolvimento
iraqi	iraquiano
irish	irlandês
iron	ferro
ironically	ironicamente
irony	ironia
is	é
isn't	não é
islam	islam
islamic	islâmico
island	ilha
isolate	isolar
isolated	isolado
isolation	isolamento
israeli	israelense
issue	edição
it	isto
italian	italiano
item	item
its	as suas
itself	a si mesmo
jacket	jaqueta
jail	cadeia
japanese	japonês
jar	jarra
jaw	mandíbula
jazz	jazz
jeans	calça jeans
jet	jato
jew	judeu
jewelry	jóias
jewish	judaico
job	emprego
join	junte-se
joint	articulação
joke	piada
journal	jornal
journalism	jornalismo
journalist	jornalista
journey	jornada
joy	alegria
judge	juiz
judgment	julgamento
judicial	judicial
juice	suco
jump	saltar
jungle	selva
junior	júnior
jurisdiction	jurisdição
juror	jurado
jury	júri
just	somente
justice	justiça
justify	justificar
keep	guarda
key	chave
kick	pontapé
kid	criança
kill	matar
killer	assassino
killing	matança
kind	tipo
king	rei
kingdom	reino
kiss	beijo
kit	estojo
kitchen	cozinha
knee	joelho
kneel	ajoelhar
knife	faca
knock	bater
know	conhecer
knowledge	conhecimento
known	conhecido
korean	coreano
lab	laboratório
label	etiqueta
labor	trabalho
laboratory	laboratório
lack	falta
ladder	escada
lady	senhora
lake	lago
lamp	lâmpada
land	terra
landing	aterrissagem
landmark	ponto de referência
landscape	paisagem
lane	faixa
language	idioma
lap	colo
large	grande
largely	largamente
laser	laser
last	último
late	atrasado
lately	recentemente
later	mais tarde
latin	latino
latter	último
laugh	riso
laughter	riso
launch	lançamento
laundry	lavanderia
law	lei
lawmaker	legislador
lawn	gramado
lawsuit	ação judicial
lawyer	advogado
lay	deitar
layer	camada
lead	conduzir
leader	líder
leadership	liderança
leading	conduzindo
leaf	folha
league	liga
lean	magro
leap	salto
learn	aprender
learning	aprendizagem
least	mínimo
leather	couro
leave	deixar
lecture	palestra
left	deixou
leg	perna
legacy	legado
legal	legal
legally	legalmente
legend	lenda
legislation	legislação
legislative	legislativo
legislator	legislador
legislature	legislatura
legitimate	legítimo
lemon	limão
lend	emprestar
length	comprimento
lens	lente
less	menos
lesson	lição
let	deixei
letter	carta
level	nível
liability	responsabilidade
liberal	liberal
liberty	liberdade
library	biblioteca
license	licença
lid	tampa
lie	mentira
life	vida
lifestyle	estilo de vida
lifetime	tempo de vida
lift	elevador
light	claro
lighting	iluminação
lightly	levemente
lightning	relâmpago
like	como
likelihood	probabilidade
likely	provável
likewise	da mesma forma
limb	membro
limit	limite
limitation	limitação
limited	limitado
line	linha
link	ligação
lion	leão
lip	lábio
liquid	líquido
list	lista
listen	ouço
listener	ouvinte
literally	literalmente
literary	literário
literature	literatura
little	pequena
live	ao vivo
liver	fígado
living	vivo
load	carga
loan	empréstimo
lobby	entrada
local	local
locate	localizar
location	localização
lock	trancar
log	registro
logic	lógica
logical	lógico
lonely	solitário
long	grandes
long-term	longo prazo
longtime	há muito tempo
look	veja
loop	laço
loose	solto
lose	perder
loss	perda
lost	perdido
lot	muito
lots	grande quantidade
loud	alto
love	ame
lovely	adorável
lover	amante
low	baixo
lower	menor
loyal	leal
loyalty	lealdade
luck	sorte
lucky	por sorte
lunch	almoço
lung	pulmão
machine	máquina
mad	louco
magazine	revista
magic	magia
magnetic	magnético
magnitude	magnitude
mail	correio
main	a principal
mainly	principalmente
mainstream	corrente principal
maintain	manter
maintenance	manutenção
major	principal
majority	maioria
make	faço
maker	fabricante
makeup	maquiagem
male	masculino
mall	shopping
man	cara
manage	gerir
management	gestão
manager	gerente
managing	gestão
mandate	mandato
manipulate	manipular
manner	maneira
mansion	mansão
manual	manual
manufacturer	fabricante
manufacturing	fabrico
many	muitos
map	mapa
marble	mármore
march	março
margin	margem
marine	marinho
mark	marca
marker	marcador
market	mercado
marketing	marketing
marketplace	marketplace
marriage	casamento
married	casado
marry	casar
mask	mascarar
mass	massa
massive	maciço
master	mestre
match	combine
mate	companheiro
material	material
math	matemática
mathematics	matemática
matter	importam
maximum	máximo
may	maio
maybe	pode ser
mayor	prefeito
me	a mim
meal	refeição
mean	significar
meaning	significado
meaningful	significativo
meantime	entretanto
meanwhile	enquanto isso
measure	medir
measurement	medição
meat	carne
mechanic	mecânico
mechanical	mecânico
mechanism	mecanismo
medal	medalha
media	mídia
medical	médico
medication	medicação
medicine	medicamento
medium	médio
meet	conheça
meeting	reunião
melt	fundição
member	membro
membership	filiação
memory	memória
mental	mental
mentally	mentalmente
mention	mencionar
mentor	mentor
menu	cardápio
merchant	comerciante
mere	simples
merely	meramente
merit	mérito
mess	confusão
message	mensagem
metal	metal
metaphor	metáfora
meter	medidor
method	método
metropolitan	metropolitano
mexican	mexicano
middle	meio
middle-class	classe média
midnight	meia-noite
midst	meio
might	poder
migration	migração
mild	suave
military	militar
milk	leite
mill	moinho
million	milhão
mind	mente
mine	meu
mineral	mineral
minimal	mínimo
minimize	minimizar
minimum	mínimo
minister	ministro
ministry	ministério
minor	menor
minority	minoria
minute	minuto
miracle	milagre
mirror	espelho
miss	perde
missile	míssil
missing	ausência de
mission	missão
missionary	missionário
mistake	erro
mix	misturar
mixed	misto
mixture	mistura
mm-hmm	mm -hmm
mobile	móvel
mode	modo
model	modelo
moderate	moderado
modern	moderno
modest	modesto
modify	modificar
molecule	molécula
mom	mamãe
moment	momento
momentum	ímpeto
money	dinheiro
monitor	monitor
monkey	macaco
monster	monstro
month	mês
monthly	mensal
monument	monumento
mood	humor
moon	lua
moral	moral
more	mais
moreover	além disso
morning	manhã
mortality	mortalidade
mortgage	hipoteca
most	mais
mostly	principalmente
mother	mãe
motion	movimento
motivate	motivar
motivation	motivação
motive	motivo
motor	motor
mount	monte
mountain	montanha
mouse	rato
mouth	boca
move	jogada
movement	movimento
movie	filme
mr	senhor
mrs	senhora
ms	senhora
much	muito
mud	lama
multiple	múltiplo
municipal	municipal
murder	assassinato
muscle	músculo
museum	museu
mushroom	cogumelo
music	música
musical	musical
musician	músico
muslim	muçulmano
must	devo
mutter	mãe
mutual	mútuo
my	meu
myself	eu mesmo
mysterious	misterioso
mystery	mistério
myth	mito
nail	unha
naked	nu
name	nome
narrative	narrativa
narrow	estreito
nasty	desagradável
nation	nação
national	nacional
nationwide	em todo o país
native	nativo
natural	natural
naturally	naturalmente
nature	natureza
naval	naval
near	próximo
nearby	próximo
nearly	quase
neat	arrumado
necessarily	necessariamente
necessary	necessário
necessity	necessidade
neck	pescoço
need	necessidade
needle	agulha
negative	negativo
negotiate	negociar
negotiation	negociação
neighbor	vizinho
neighborhood	vizinhança
neighboring	vizinho
neither	nem
nerve	nervo
nervous	nervoso
nest	ninho
net	líquido
network	rede
neutral	neutro
never	nunca
nevertheless	mesmo assim
new	novo
newly	recentemente
news	notícia
newspaper	jornal
next	next
nice	bem
night	noite
nightmare	pesadelo
nine	nove
no	não
nobody	ninguém
nod	aceno com a cabeça
noise	barulho
nomination	nomeação
nominee	pessoa nomeada
none	nenhum
nonetheless	no entanto
nonprofit	sem fins lucrativos
noon	meio-dia
nor	nem
norm	norma
normal	normal
normally	normalmente
north	norte
northeast	nordeste
northern	norte
northwest	noroeste
nose	nariz
not	não
note	nota
notebook	caderno
nothing	nenhuma coisa
notice	aviso prévio
notion	noção
novel	novela
now	agora
nowhere	em nenhuma parte
n't	não
nuclear	nuclear
number	número
numerous	numeroso
nurse	enfermeira
nut	noz
nutrient	nutriente
oak	carvalho
object	objeto
objection	objeção
objective	objetivo
obligation	obrigação
observation	observação
observe	observar
observer	observador
obstacle	obstáculo
obtain	obtem
obvious	óbvio
obviously	obviamente
occasion	ocasião
occasional	ocasional
occasionally	ocasionalmente
occupation	ocupação
occupy	ocupar
occur	ocorrer
ocean	oceano
o'clock	hora
odd	ímpar
odds	probabilidade
of	de
off	desligado
offender	ofensor
offense	ofensa
offensive	ofensivo
offer	oferta
offering	oferta
office	escritório
officer	oficial
official	oficial
officially	oficialmente
often	frequentemente
oh	ó
oil	óleo
ok	está bem
ok	está bem
okay	ok
old	velho
old-fashioned	antiquado
olympic	olímpico
olympics	jogos olímpicos
on	ligar
once	uma vez
one	se
one-third	um terço
ongoing	contínuo
onion	cebola
online	conectados
only	somente
onto	para
open	aberto
opening	abertura
openly	abertamente
opera	ópera
operate	operar
operating	operacional
operation	operação
operator	operador
opinion	opinião
opponent	adversário
opportunity	oportunidade
oppose	opor-se
opposed	contrário
opposite	oposto
opposition	oposição
opt	optar
optimistic	otimista
option	opção
or	ou
oral	oral
orange	laranja
orbit	órbita
order	ordem
ordinary	comum
organ	órgão
organic	orgânico
organism	organismo
organization	organização
organizational	organizacional
organize	organizar
organized	organizado
orientation	orientação
origin	origem
original	original
originally	originalmente
other	de outros
others	outros
otherwise	caso contrário
ought	dever
our	nosso
ours	nosso
ourselves	nós mesmos
out	fora
outcome	resultado
outdoor	ao ar livre
outer	exterior
outfit	equipamento
outlet	saída
outline	esboço
output	saída
outside	lado de fora
outsider	forasteiro
outstanding	excelente
oven	forno
over	sobre
overall	no geral
overcome	superar
overlook	negligenciar
overnight	durante a noite
oversee	vigiar
overwhelm	oprimir
overwhelming	esmagador
owe	dever
own	próprio
owner	proprietário
ownership	propriedade
oxygen	oxigênio
pace	ritmo
pack	pacote
package	pacote
pad	almofada
page	página
pain	dor
painful	doloroso
paint	pintar
painter	pintor
painting	pintura
pair	par
palace	palácio
pale	pálido
palestinian	palestino
palm	palma
pan	panela
panel	painel
panic	pânico
pant	arfar
paper	papel
parade	desfile
parent	principal
parental	parental
parish	freguesia
park	parque
parking	estacionamento
part	parte
partial	parcial
partially	parcialmente
participant	participante
participate	participar
participation	participação
particle	partícula
particular	particular
particularly	particularmente
partly	parcialmente
partner	parceiro
partnership	parceria
party	festa
pass	passar
passage	passagem
passenger	passageiro
passing	passagem
passion	paixão
past	passado
pasta	macarrão
pastor	pastor
pat	pancadinha
patch	remendo
patent	patente
path	caminho
patience	paciência
patient	paciente
patrol	patrulha
patron	patrono
pattern	padrão
pause	pausa
pay	pagar
payment	pagamento
pc	pc
peace	paz
peaceful	pacífico
peak	pico
peanut	amendoim
peasant	camponês
peel	casca
peer	espreitar
pen	caneta
penalty	pena
pencil	lápis
pension	pensão
people	pessoas
pepper	pimenta
per	por
perceive	perceber
perceived	percebido
percentage	percentagem
perception	percepção
perfect	perfeito
perfectly	perfeitamente
perform	realizar
performance	desempenho
performer	executante
perhaps	possivelmente
period	período
permanent	permanente
permission	permissão
permit	autorização
persian	persa
persist	persistir
person	pessoa
personal	pessoal
personality	personalidade
personally	pessoalmente
personnel	pessoal
perspective	perspectiva
persuade	persuadir
pet	animal de estimação
phase	fase
phenomenon	fenômeno
philosophical	filosófico
philosophy	filosofia
phone	telefone
photo	foto
photograph	fotografia
photographer	fotógrafo
photography	fotografia
phrase	frase
physical	físico
physically	fisicamente
physician	médico
physics	física
piano	piano
pick	escolher
pickup	pegar
picture	fotografia
pie	torta
piece	pedaço
pig	porco
pile	pilha
pill	pílula
pillow	almofada
pilot	piloto
pin	pino
pine	pinho
pink	rosa
pioneer	pioneiro
pipe	cachimbo
pistol	pistola
pit	cova
pitch	arremesso
pitcher	jarro
pizza	pizza
place	lugar
placement	localização
plain	avião
plaintiff	queixoso
plan	plano
plane	avião
planet	planeta
planner	planejador
planning	planejamento
plant	planta
plastic	plástico
plate	prato
platform	plataforma
play	toque
player	jogador
playoff	pague
plea	apelo
plead	pleitear
pleasant	agradável
please	por favor
pleased	satisfeito
pleasure	prazer
plenty	abundância
plot	enredo
plunge	mergulho
plus	mais
pm	pm
pocket	bolso
poem	poema
poet	poeta
poetry	poesia
point	ponto
poke	cotovelada
pole	pólo
police	polícia
policeman	policial
policy	política
political	político
politically	politicamente
politician	político
politics	política
poll	votação
pollution	poluição
pond	lagoa
pool	piscina
poor	pobre
pop	estouro
popular	popular
popularity	popularidade
population	população
porch	alpendre
pork	carne de porco
port	porto
portfolio	pasta
portion	parte
portrait	retrato
portray	retratar
pose	pose
position	posição
positive	positivo
possess	possuir
possession	posse
possibility	possibilidade
possible	possível
possibly	possivelmente
post	posto
poster	poster
pot	pote
potato	batata
potential	potencial
potentially	potencialmente
pound	libra
pour	para
poverty	pobreza
powder	pó
power	poder
powerful	poderoso
practical	prático
practically	praticamente
practice	prática
practitioner	médico
praise	louvor
pray	rezar
prayer	oração
preach	pregar
precious	precioso
precise	preciso
precisely	justamente
predator	predador
predict	prever
prediction	predição
prefer	preferir
preference	preferência
pregnancy	gravidez
pregnant	grávida
preliminary	preliminar
premise	premissa
premium	prêmio
preparation	preparação
prepare	preparar
prescription	prescrição
presence	presença
present	presente
presentation	apresentação
preserve	preservar
presidency	presidência
president	presidente
presidential	presidencial
press	pressione
pressure	pressão
presumably	presumivelmente
pretend	fingir
pretty	bonita
prevail	prevalecer
prevent	evita
prevention	prevenção
previous	anterior
previously	anteriormente
price	preço
pride	orgulho
priest	padre
primarily	principalmente
primary	primário
prime	primordial
principal	diretor
principle	princípio
print	impressão
prior	priori
priority	prioridade
prison	prisão
prisoner	prisioneiro
privacy	privacidade
private	particular
privately	privadamente
privilege	privilégio
prize	prêmio
pro	pró
probably	provavelmente
problem	problema
procedure	procedimento
proceed	prosseguir
process	processo
processing	processamento
processor	processador
proclaim	proclamar
produce	produzir
producer	produtor
product	produto
production	produção
productive	produtivo
productivity	produtividade
profession	profissão
professional	profissional
professor	professor
profile	perfil
profit	lucro
profound	profundo
program	programa
programming	programação
progress	progresso
progressive	progressivo
prohibit	proibir
project	projeto
projection	projeção
prominent	proeminente
promise	promessa
promising	promissor
promote	promover
promotion	promoção
prompt	pronto
proof	prova
proper	adequado
properly	corretamente
property	propriedade
proportion	proporção
proposal	proposta
propose	propor
proposed	proposto
prosecution	acusação
prosecutor	promotor
prospect	prospecto
protect	proteger
protection	proteção
protective	protetor
protein	proteína
protest	protesto
protocol	protocolo
proud	orgulhoso
prove	provar
provide	fornecer
provided	forneceu
provider	fornecedor
province	província
provision	provisão
provoke	provocar
psychological	psicológico
psychologist	psicólogo
psychology	psicologia
public	público
publication	publicação
publicity	publicidade
publicly	publicamente
publish	publicar
publisher	editor
pull	puxe
pulse	pulso
pump	bomba
punch	soco
punish	punir
punishment	punição
purchase	compra
pure	puro
purple	roxo
purpose	propósito
purse	bolsa
pursue	perseguir
pursuit	perseguição
push	empurre
put	colocar
puzzle	quebra-cabeças
qualify	qualificar
quality	qualidade
quantity	quantidade
quarter	trimestre
quarterback	quarterback
queen	rainha
quest	busca
question	pergunta
questionnaire	questionário
quick	rápido
quickly	rapidamente
quiet	quieto
quietly	silenciosamente
quit	desistir
quite	bastante
quote	citação
rabbit	coelho
race	corrida
racial	racial
racism	racismo
rack	cremalheira
radar	radar
radiation	radiação
radical	radical
radio	rádio
rage	raiva
rail	trilho
railroad	estrada de ferro
rain	chuva
raise	aumentar
rally	rali
ranch	rancho
random	acaso
range	alcance
rank	rank
rape	estupro
rapid	rápido
rapidly	rapidamente
rare	raro
rarely	raramente
rat	rato
rate	taxa
rather	em vez
rating	classificação
ratio	relação
rational	racional
raw	cru
re	re
reach	alcançar
react	reagir
reaction	reação
read	ler
reader	leitor
readily	prontamente
reading	leitura
ready	pronto
real	real
realistic	realista
reality	realidade
realize	perceber
really	realmente
realm	reino
rear	traseiro
reason	razão
reasonable	razoável
rebel	rebelde
rebuild	reconstruir
recall	recordação
receive	receber
receiver	recebedor
recent	recente
recently	recentemente
reception	recepção
recession	recessão
recipe	receita
recipient	beneficiário
recognition	reconhecimento
recognize	reconhecer
recommend	recomendar
recommendation	recomendação
record	registro
recording	gravação
recover	recuperar
recovery	recuperação
recruit	recruta
red	vermelho
reduce	reduzir
reduction	redução
refer	referir
reference	referência
reflect	refletir
reflection	reflexão
reform	reforma
refrigerator	geladeira
refuge	refúgio
refugee	refugiado
refuse	recusar
regain	recuperar
regard	conta
regarding	em relação a
regardless	independentemente
regime	regime
region	região
regional	regional
register	registrar
regret	arrepender
regular	regular
regularly	regularmente
regulate	regular
regulation	regulação
regulator	regulador
regulatory	regulamentar
rehabilitation	reabilitação
reinforce	reforçar
reject	rejeitar
relate	relacionar-se
related	relacionado
relation	relação
relationship	relacionamento
relative	parente
relatively	relativamente
relax	relaxe
release	lançamento
relevant	relevante
reliability	confiabilidade
reliable	confiável
relief	alívio
relieve	aliviar
religion	religião
religious	religioso
reluctant	relutante
rely	depender
remain	permanecer
remaining	remanescente
remark	observação
remarkable	notável
remember	lembrar
remind	lembrar
reminder	lembrete
remote	controlo remoto
removal	remoção
remove	remover
render	render
rent	aluguel
rental	aluguer
repair	reparação
repeat	repita
repeatedly	repetidamente
replace	substituir
replacement	substituição
reply	resposta
report	relatório
reportedly	reportedly
reporter	repórter
reporting	relatando
represent	representar
representation	representação
representative	representante
republic	república
republican	republicano
republican	republicano
reputation	reputação
request	pedido
require	exigir
required	requeridos
requirement	exigência
rescue	resgate
research	pesquisa
researcher	investigador
resemble	assemelhar
reservation	reserva
reserve	reserva
residence	residência
resident	residente
residential	residencial
resign	demitir-se
resist	resistir
resistance	resistência
resolution	resolução
resolve	resolver
resort	recurso
resource	recurso
respect	respeito
respectively	respectivamente
respond	responder
respondent	respondente
response	resposta
responsibility	responsabilidade
responsible	responsável
rest	descansar
restaurant	restaurante
restore	restaurar
restrict	restringir
restriction	restrição
result	resultado
resume	currículo
retail	varejo
retailer	varejista
retain	reter
retire	aposentar
retired	aposentado
retirement	aposentadoria
retreat	retiro
return	retorna
reveal	revelar
revelation	revelação
revenue	receita
reverse	reverter
review	revisão
revolution	revolução
revolutionary	revolucionário
reward	recompensa
rhetoric	retórica
rhythm	ritmo
rib	costela
ribbon	fita
rice	arroz
rich	rico
rid	livrar
ride	passeio
rider	cavaleiro
ridge	cume
ridiculous	ridículo
rifle	rifle
right	certo
rim	aro
ring	anel
riot	revolta
rip	descanse em paz
rise	levantar
risk	risco
risky	arriscado
ritual	ritual
rival	rival
river	rio
road	estrada
robot	robô
rock	rocha
rocket	foguete
rod	haste
role	função
roll	rolo
rolling	laminação
roman	romano
romance	romance
romantic	romântico
roof	cobertura
room	quarto
root	raiz
rope	corda
rose	rosa
rough	áspero
roughly	grosseiramente
round	volta
route	rota
routine	rotina
routinely	rotineiramente
row	fila
royal	real
rub	esfregar
rubber	borracha
ruin	ruína
rule	regra
ruling	dominante
rumor	rumor
run	corre
runner	corredor
running	correndo
rural	rural
rush	pressa
russian	russo
sack	saco
sacred	sagrado
sacrifice	sacrifício
sad	triste
safe	seguro
safely	seguramente
safety	segurança
sail	vela
sake	causa
salad	salada
salary	salário
sale	venda
sales	vendas
salmon	salmão
salt	sal
same	mesmo
sample	amostra
sanction	sanção
sand	areia
sandwich	sanduíche
satellite	satélite
satisfaction	satisfação
satisfy	satisfazer
sauce	molho
save	guardar
saving	poupança
say	dizer
scale	escala
scan	digitalização
scandal	escândalo
scare	susto
scared	assustado
scary	assustador
scatter	espalhar
scenario	cenário
scene	cena
scent	perfume
schedule	cronograma
scheme	esquema
scholar	estudioso
scholarship	bolsa de estudo
school	escola
science	ciência
scientific	científico
scientist	cientista
scope	escopo
score	ponto
scramble	atropelo
scratch	arranhão
scream	gritar
screen	tela
screening	triagem
screw	parafuso
script	escrita
sculpture	escultura
sea	mar
seal	foca
search	pesquisar
season	estação
seat	assento
second	segundo
secondary	secundário
secret	segredo
secretary	secretário
section	seção
sector	setor
secular	secular
secure	proteger
security	segurança
see	vejo
seed	semente
seek	buscar
seem	parecer
seemingly	aparentemente
segment	segmento
seize	apreender
seldom	raramente
select	selecionar
selected	selecionado
selection	seleção
self	si mesmo
self-esteem	auto estima
sell	vender
seller	vendedor
seminar	seminário
senate	senado
senator	senador
send	mandar
senior	senior
sensation	sensação
sense	sentido
sensitive	sensível
sensitivity	sensibilidade
sensor	sensor
sentence	frase
sentiment	sentimento
separate	separado
separation	separação
sequence	seqüência
series	série
serious	sério
seriously	a sério
servant	servo
serve	servir
service	serviço
serving	de servir
session	sessão
set	conjunto
setting	cenário
settle	resolver
settlement	assentamento
seven	sete
seventh	sétimo
several	de várias
severe	grave
severely	severamente
sex	sexo
sexual	sexual
sexuality	sexualidade
sexually	sexualmente
sexy	sensual
shade	sombra
shadow	sombra
shake	tremer
shall	deve
shallow	raso
shame	vergonha
shape	forma
share	compartilhado
shared	compartilhado
shareholder	acionista
shark	tubarão
sharp	afiada
sharply	nitidamente
she	ela
shed	verter
sheep	ovelha
sheer	puro
sheet	folha
shelf	prateleira
shell	concha
shelter	abrigo
shift	mudança
shine	brilho
ship	navio
shirt	camisa
shit	merda
shock	choque
shoe	sapato
shoot	atirar
shooting	tiroteio
shop	loja
shopping	compras
shore	costa
short	baixo
shortage	escassez
shortly	em breve
shorts	bermudas
short-term	curto prazo
shot	tiro
should	devemos
shoulder	ombro
shout	grito
shove	empurrão
show	mostra
shower	banho
shrimp	camarão
shrink	encolher
shrug	encolher de ombros
shut	fechar
shuttle	transporte
shy	tímido
sibling	irmão
sick	doente
side	lado
sidewalk	calçada
sigh	suspiro
sight	vista
sign	placa
signal	sinal
signature	assinatura
significance	significado
significant	significativo
significantly	significativamente
silence	silêncio
silent	silencioso
silk	seda
silly	bobo
silver	prata
similar	semelhante
similarity	semelhança
similarly	similarmente
simple	simples
simply	simplesmente
simultaneously	simultaneamente
sin	sem
since	desde
sing	cantar
singer	cantor
single	solteira
sink	lavatório
sir	senhor
sister	irmã
sit	sentar-se
site	local
situation	situação
six	seis
sixth	sexto
size	tamanho
ski	esqui
skill	habilidade
skilled	hábil
skin	pele
skip	pular
skirt	saia
skull	crânio
sky	céu
slam	batida
slap	tapa
slave	escravo
slavery	escravidão
sleep	dorme
sleeve	manga
slice	fatia
slide	deslizar
slight	leve
slightly	levemente
slip	deslize
slope	declive
slot	ranhura
slow	lento
slowly	devagar
small	pequena
smart	inteligente
smell	cheiro
smile	sorrir
smoke	fumaça
smooth	suave
snake	serpente
snap	estalo
sneak	esgueirar-se
snow	neve
so	assim
soak	embeber
soap	sabão
soar	planar
so-called	chamado
soccer	futebol
social	social
socially	socialmente
society	sociedade
sock	meia
sodium	sódio
sofa	sofá
soft	suave
soften	amolecer
softly	suavemente
software	programas
soil	solo
solar	solar
soldier	soldado
sole	único
solely	unicamente
solid	sólido
solution	solução
solve	resolver
some	alguns
somebody	alguém
someday	algum dia
somehow	de alguma maneira
someone	alguém
something	algo
sometime	às vezes
sometimes	às vezes
somewhat	um pouco
somewhere	em algum lugar
son	filho
song	canção
soon	em breve
sophisticated	sofisticado
sorry	desculpa
sort	tipo
soul	alma
sound	som
soup	sopa
source	fonte
south	sul
southeast	sudeste
southern	do sul
southwest	sudoeste
sovereignty	soberania
soviet	soviética
space	espaço
spanish	espanhol
spare	sobressalente
spark	faísca
speak	falar
speaker	alto-falante
special	especial
specialist	especialista
specialize	especializar-se
specialty	especialidade
species	espécies
specific	específico
specifically	especificamente
specify	especificamos
spectacular	espetacular
spectrum	espectro
speculate	especular
speculation	especulação
speech	discurso
speed	velocidade
spell	feitiço
spend	gastar
spending	gastos
sphere	esfera
spill	derramamento
spin	rotação
spine	espinha
spirit	espírito
spiritual	espiritual
spit	cuspir
spite	despeito
split	dividido
spokesman	porta-voz
sponsor	patrocinador
spoon	colher
sport	esporte
spot	local
spouse	cônjuge
spray	spray
spread	espalhar
spring	primavera
sprinkle	regar
spy	espião
squad	pelotão
square	praça
squeeze	aperto
stability	estabilidade
stable	estável
stack	pilha
stadium	estádio
staff	funcionários
stage	etapa
stair	escada
stake	estaca
stance	posição
stand	ficar de pé
standard	padrão
standing	de pé
star	estrela
stare	encarar
start	começo
starter	arranque
starting	iniciando
state	estado
statement	afirmação
station	estação
statistical	estatístico
statistics	estatísticas
statue	estátua
status	estado
statute	estatuto
stay	fique
steadily	firmemente
steady	estável
steak	bife
steal	roubar
steam	vapor
steel	aço
steep	íngreme
steer	dirigir
stem	haste
step	passo
stereotype	estereótipo
stick	bastão
stiff	rígido
still	ainda
stimulate	estimular
stimulus	estímulo
stir	mexer
stock	ações
stomach	estômago
stone	pedra
stop	pare
storage	armazenamento
store	armazenar
storm	tempestade
story	história
stove	fogão
straight	em linha reta
